phase,feat_mode,target,held_out_family,loo_acc,note
base,layer_stats,label,geometry_claim,0.53125,n_test=32
base,layer_stats,label,numeric_validity,0.6208791208791209,n_test=182
base,layer_stats,tail,geometry_claim,0.5,n_test=32
base,layer_stats,tail,numeric_validity,0.7692307692307693,n_test=182
base,layer_hist,label,geometry_claim,0.53125,n_test=32
base,layer_hist,label,numeric_validity,0.6318681318681318,n_test=182
base,layer_hist,tail,geometry_claim,0.625,n_test=32
base,layer_hist,tail,numeric_validity,0.7692307692307693,n_test=182
l1,layer_stats,label,geometry_claim,0.5,n_test=32
l1,layer_stats,label,numeric_validity,0.5769230769230769,n_test=182
l1,layer_stats,tail,geometry_claim,0.78125,n_test=32
l1,layer_stats,tail,numeric_validity,0.7307692307692307,n_test=182
l1,layer_hist,label,geometry_claim,0.5,n_test=32
l1,layer_hist,label,numeric_validity,0.4945054945054945,n_test=182
l1,layer_hist,tail,geometry_claim,0.6875,n_test=32
l1,layer_hist,tail,numeric_validity,0.6648351648351648,n_test=182
l2,layer_stats,label,geometry_claim,0.53125,n_test=32
l2,layer_stats,label,numeric_validity,0.5714285714285714,n_test=182
l2,layer_stats,tail,geometry_claim,0.90625,n_test=32
l2,layer_stats,tail,numeric_validity,0.7087912087912088,n_test=182
l2,layer_hist,label,geometry_claim,0.46875,n_test=32
l2,layer_hist,label,numeric_validity,0.4945054945054945,n_test=182
l2,layer_hist,tail,geometry_claim,0.90625,n_test=32
l2,layer_hist,tail,numeric_validity,0.7197802197802198,n_test=182
l1_l2,layer_stats,label,geometry_claim,0.53125,n_test=32
l1_l2,layer_stats,label,numeric_validity,0.5384615384615384,n_test=182
l1_l2,layer_stats,tail,geometry_claim,0.6875,n_test=32
l1_l2,layer_stats,tail,numeric_validity,0.7692307692307693,n_test=182
l1_l2,layer_hist,label,geometry_claim,0.53125,n_test=32
l1_l2,layer_hist,label,numeric_validity,0.44505494505494503,n_test=182
l1_l2,layer_hist,tail,geometry_claim,0.71875,n_test=32
l1_l2,layer_hist,tail,numeric_validity,0.7307692307692307,n_test=182
l3,layer_stats,label,geometry_claim,0.5,n_test=32
l3,layer_stats,label,numeric_validity,0.5164835164835165,n_test=182
l3,layer_stats,tail,geometry_claim,0.40625,n_test=32
l3,layer_stats,tail,numeric_validity,0.6428571428571429,n_test=182
l3,layer_hist,label,geometry_claim,0.5,n_test=32
l3,layer_hist,label,numeric_validity,0.5439560439560439,n_test=182
l3,layer_hist,tail,geometry_claim,0.46875,n_test=32
l3,layer_hist,tail,numeric_validity,0.7032967032967034,n_test=182
