phase,feat_mode,target,n,majority,cv5_mean,cv5_std,mean_loo,n_classes
base,layer_stats,label,255,0.5019607843137255,0.7882352941176471,0.04866538684702296,0.536038961038961,2
base,layer_stats,tail,255,0.34509803921568627,0.9882352941176471,0.015686274509803914,0.6698051948051948,3
base,layer_hist,label,255,0.5019607843137255,0.8235294117647058,0.032810197118983385,0.5435064935064935,2
base,layer_hist,tail,255,0.34509803921568627,0.9843137254901961,0.022866478019001185,0.7155844155844155,3
l1,layer_stats,label,255,0.5019607843137255,0.823529411764706,0.046400625749800924,0.5224025974025974,2
l1,layer_stats,tail,255,0.34509803921568627,0.9803921568627452,0.021479315980594754,0.688961038961039,3
l1,layer_hist,label,255,0.5019607843137255,0.8352941176470589,0.040375020160733334,0.5396103896103897,2
l1,layer_hist,tail,255,0.34509803921568627,0.9843137254901961,0.022866478019001185,0.6542207792207793,3
l2,layer_stats,label,255,0.5019607843137255,0.8117647058823529,0.040375020160733334,0.5548701298701298,2
l2,layer_stats,tail,255,0.34509803921568627,0.9843137254901961,0.014673166222642904,0.8321428571428571,3
l2,layer_hist,label,255,0.5019607843137255,0.8313725490196079,0.04738449401409634,0.4883116883116883,2
l2,layer_hist,tail,255,0.34509803921568627,0.9803921568627452,0.0124010888634054,0.8253246753246752,3
l1_l2,layer_stats,label,255,0.5019607843137255,0.8470588235294118,0.043668740100627636,0.513961038961039,2
l1_l2,layer_stats,tail,255,0.34509803921568627,0.968627450980392,0.015686274509803904,0.7428571428571429,3
l1_l2,layer_hist,label,255,0.5019607843137255,0.8549019607843137,0.06395884874627485,0.461038961038961,2
l1_l2,layer_hist,tail,255,0.34509803921568627,0.9882352941176471,0.015686274509803914,0.7373376623376624,3
l3,layer_stats,label,255,0.5019607843137255,0.6980392156862745,0.06395884874627487,0.4951298701298701,2
l3,layer_stats,tail,255,0.34509803921568627,0.9607843137254901,0.030376339970254226,0.5318181818181819,3
l3,layer_hist,label,255,0.5019607843137255,0.7960784313725491,0.08281847875271715,0.4876623376623377,2
l3,layer_hist,tail,255,0.34509803921568627,0.976470588235294,0.028817526385684467,0.5831168831168831,3
