,geometry,boolean-logic,language-comparative,math-general,format-template,other
base/True,0.0379,0.1555,0.0137,0.2644,0.1753,0.3532
base/False,0.0479,0.1905,0.019,0.2172,0.1456,0.3799
base_v3/True,0.024,0.3084,0.0,0.2822,0.084,0.3013
base_v3/False,0.0058,0.3156,0.0,0.28,0.0893,0.3093
lora_l1/True,0.0313,0.1925,0.0085,0.2448,0.1233,0.3996
lora_l1/False,0.0265,0.2316,0.0136,0.2062,0.1117,0.4104
lora_l2/True,0.0241,0.1972,0.0152,0.2399,0.14,0.3836
lora_l2/False,0.0206,0.2384,0.015,0.1778,0.1361,0.4121
lora_l3_tri_num/True,0.0401,0.1046,0.0098,0.4127,0.0573,0.3754
lora_l3_tri_num/False,0.0508,0.1206,0.0086,0.3904,0.055,0.3747
