num,l1_category_distance
003,0.12000000000000002
004,0.039999999999999966
005,0.08000000000000007
007,0.04000000000000002
011,0.08000000000000004
016,0.12000000000000002
017,0.08000000000000002
020,0.11999999999999998
021,0.08
022,0.12000000000000005
025,0.12000000000000005
028,0.11999999999999998
032,0.08000000000000002
035,0.07999999999999996
036,0.16000000000000003
038,0.08000000000000004
040,0.12000000000000005
041,0.11999999999999998
045,0.08
047,0.12000000000000005
049,0.11999999999999997
050,0.07999999999999999
054,0.08000000000000006
059,0.03999999999999998
060,0.03999999999999998
067,0.08
070,0.08
073,0.08000000000000006
075,0.03999999999999998
084,0.07999999999999999
086,0.040000000000000036
094,0.07999999999999995
095,0.08000000000000006
099,0.039999999999999966
103,0.12000000000000002
105,0.08
108,0.04000000000000002
111,0.08000000000000002
112,0.16000000000000003
114,0.12000000000000005
122,0.04000000000000002
124,0.08000000000000006
125,0.08
132,0.08
133,0.039999999999999966
136,0.12000000000000005
141,0.03999999999999998
150,0.12
151,0.04000000000000002
159,0.08
162,0.08
169,0.040000000000000036
170,0.08000000000000002
173,0.08000000000000002
177,0.08000000000000002
181,0.11999999999999998
182,0.04000000000000002
183,0.08
189,0.07999999999999999
194,0.08
195,0.08000000000000002
196,0.08
198,0.08000000000000006
199,0.07999999999999996
203,0.07999999999999989
207,0.07999999999999996
209,0.08000000000000002
210,0.08000000000000002
221,0.12000000000000002
222,0.04000000000000002
224,0.12000000000000004
225,0.039999999999999966
232,0.08000000000000004
238,0.08000000000000002
239,0.04000000000000002
241,0.04000000000000002
243,0.040000000000000036
245,0.04000000000000002
246,0.08000000000000007
250,0.08000000000000006
252,0.08000000000000002
256,0.08000000000000002
257,0.04000000000000002
258,0.04000000000000002
262,0.08
267,0.0
268,0.08
271,0.08000000000000002
286,0.08
289,0.039999999999999966
